All,All_activation,100,100_activation
layer_27_neuron_1794,58534.95703125,layer_27_neuron_2045,5689.431882434296
layer_26_neuron_2445,58534.46875,layer_22_neuron_1790,5686.858277191993
layer_27_neuron_3070,58505.68359375,layer_26_neuron_622,5685.182445570594
layer_19_neuron_1451,58500.8828125,layer_24_neuron_944,5682.6559159155
layer_24_neuron_1562,58483.921875,layer_15_neuron_143,5680.398835700002
layer_24_neuron_1823,58482.78125,layer_23_neuron_1923,5679.955034149005
layer_25_neuron_3092,58442.671875,layer_26_neuron_727,5678.688029386003
layer_27_neuron_2718,58432.5,layer_23_neuron_1560,5677.123007184997
layer_24_neuron_314,58429.46875,layer_21_neuron_2236,5673.111106987998
layer_26_neuron_1395,58398.03125,layer_15_neuron_1288,5672.449677411989
layer_27_neuron_2523,58390.94921875,layer_25_neuron_2477,5666.780587153996
layer_12_neuron_608,58387.9140625,layer_23_neuron_1491,5664.127145541997
layer_27_neuron_819,58374.09765625,layer_22_neuron_1926,5661.188219518992
layer_27_neuron_1759,58361.73046875,layer_27_neuron_1551,5660.874508037994
layer_18_neuron_1929,58359.9609375,layer_27_neuron_187,5658.886203231993
layer_26_neuron_998,58321.0546875,layer_27_neuron_3498,5657.106072377298
layer_24_neuron_772,58320.39453125,layer_25_neuron_662,5654.938519684007
layer_8_neuron_392,58316.99609375,layer_24_neuron_1993,5653.967943609605
layer_23_neuron_1900,58299.84375,layer_25_neuron_1013,5652.993942581004
layer_18_neuron_3507,58287.98046875,layer_27_neuron_2285,5652.8974839024895
layer_26_neuron_423,58265.953125,layer_25_neuron_1555,5652.061781984705
layer_24_neuron_1395,58234.078125,layer_25_neuron_1823,5650.236605697006
layer_25_neuron_772,58232.265625,layer_26_neuron_344,5645.373687615601
layer_25_neuron_2557,58217.18359375,layer_27_neuron_2714,5644.791636101199
layer_26_neuron_3394,58203.2265625,layer_26_neuron_1531,5643.39319819189
layer_25_neuron_3545,58197.4296875,layer_20_neuron_2107,5642.978573599999
layer_25_neuron_330,58195.6796875,layer_25_neuron_547,5640.100802864926
layer_26_neuron_2444,58186.1953125,layer_24_neuron_1064,5639.225356937997
layer_26_neuron_1123,58133.5546875,layer_21_neuron_2737,5639.179587460994
layer_26_neuron_2695,58132.1328125,layer_24_neuron_1422,5633.676359728008
layer_27_neuron_1424,58126.15234375,layer_27_neuron_573,5633.399678754999
layer_26_neuron_1628,58104.75390625,layer_25_neuron_1560,5632.214691301992
layer_27_neuron_2096,58100.4609375,layer_24_neuron_2127,5632.125586901003
layer_27_neuron_1823,58069.296875,layer_28_neuron_2107,5630.337725692015
layer_28_neuron_2175,58060.203125,layer_27_neuron_1117,5629.9426455174325
layer_24_neuron_2655,58055.3125,layer_23_neuron_3270,5629.515571361499
layer_4_neuron_1692,58030.703125,layer_24_neuron_2927,5628.959046157004
layer_27_neuron_376,58005.90625,layer_27_neuron_768,5627.732981784297
layer_27_neuron_1491,58000.0234375,layer_27_neuron_2560,5625.453973198996
layer_22_neuron_1621,57999.4609375,layer_25_neuron_1064,5620.186960014294
layer_27_neuron_1776,57952.9296875,layer_27_neuron_1381,5618.272596267
layer_27_neuron_2627,57903.87109375,layer_26_neuron_1628,5617.415915087509
layer_27_neuron_1684,57885.96484375,layer_27_neuron_2294,5615.821572992002
layer_25_neuron_3579,57838.62109375,layer_23_neuron_689,5606.253962457008
layer_25_neuron_1717,57791.671875,layer_26_neuron_784,5606.205482840009
layer_20_neuron_1041,57786.0078125,layer_17_neuron_143,5605.416754850009
layer_24_neuron_624,57764.9453125,layer_27_neuron_1473,5603.447654972011
layer_26_neuron_3482,57760.2890625,layer_6_neuron_2570,5602.768992466004
layer_24_neuron_1759,57759.3203125,layer_23_neuron_772,5601.710558777601
layer_27_neuron_1041,57756.66015625,layer_27_neuron_2660,5599.926800289983
layer_27_neuron_882,57737.265625,layer_24_neuron_1860,5598.404971864996
layer_24_neuron_1424,57735.609375,layer_27_neuron_12,5598.384484198999
layer_27_neuron_1300,57729.8515625,layer_25_neuron_3297,5597.376724716219
layer_28_neuron_1684,57720.18359375,layer_27_neuron_1071,5597.167710253312
layer_27_neuron_1152,57668.2265625,layer_20_neuron_2940,5594.3172846180105
layer_25_neuron_1621,57653.7890625,layer_24_neuron_3479,5591.653193825009
layer_25_neuron_541,57633.92578125,layer_22_neuron_3119,5590.086666511996
layer_27_neuron_1642,57633.1015625,layer_22_neuron_1121,5588.828169646003
layer_25_neuron_1064,57624.046875,layer_26_neuron_3173,5587.111200094998
layer_25_neuron_763,57617.203125,layer_25_neuron_1395,5585.532559175003
layer_24_neuron_330,57602.90234375,layer_23_neuron_2655,5583.841616516788
layer_27_neuron_1940,57573.58984375,layer_26_neuron_2733,5583.737113081
layer_27_neuron_1828,57559.48046875,layer_24_neuron_622,5581.911206464996
layer_28_neuron_257,57555.44921875,layer_25_neuron_2127,5577.588726047402
layer_23_neuron_314,57534.84375,layer_27_neuron_3415,5576.557344881599
layer_26_neuron_2655,57508.07421875,layer_23_neuron_1650,5575.654414677194
layer_28_neuron_3206,57460.14453125,layer_23_neuron_2545,5574.489026737995
layer_27_neuron_314,57458.6171875,layer_26_neuron_2302,5574.26640393399
layer_26_neuron_2435,57458.4140625,layer_27_neuron_130,5574.21887918269
layer_26_neuron_1925,57443.234375,layer_27_neuron_3419,5573.088738884993
layer_26_neuron_3551,57422.08984375,layer_28_neuron_1427,5570.728750300988
layer_27_neuron_998,57399.0390625,layer_23_neuron_3482,5570.028269648608
layer_20_neuron_1043,57365.5234375,layer_28_neuron_1627,5566.042110467002
layer_24_neuron_2406,57362.046875,layer_26_neuron_1018,5565.074994285016
layer_26_neuron_1717,57351.609375,layer_27_neuron_2832,5564.989108435987
layer_26_neuron_344,57344.34765625,layer_25_neuron_2063,5564.5321013739895
layer_27_neuron_3092,57288.4453125,layer_23_neuron_3297,5564.071374130006
layer_17_neuron_3507,57272.21484375,layer_16_neuron_143,5558.651530899993
layer_26_neuron_1710,57268.703125,layer_27_neuron_2975,5557.665441704694
layer_24_neuron_3577,57254.09765625,layer_27_neuron_8,5556.8580869289935
layer_26_neuron_180,57249.046875,layer_27_neuron_209,5555.590643642002
layer_25_neuron_899,57222.81640625,layer_21_neuron_1041,5554.117114077991
layer_26_neuron_2406,57221.0859375,layer_24_neuron_1555,5552.746772961402
layer_23_neuron_1290,57205.484375,layer_22_neuron_624,5552.6565723730055
layer_25_neuron_1266,57190.98828125,layer_23_neuron_1890,5550.030990087999
layer_27_neuron_2898,57178.0546875,layer_27_neuron_2255,5548.786643951009
layer_26_neuron_763,57138.7265625,layer_26_neuron_1110,5548.690998841101
layer_28_neuron_1692,57132.296875,layer_18_neuron_32,5545.952244183673
layer_26_neuron_1024,57123.71875,layer_26_neuron_2348,5543.559970685
layer_25_neuron_1993,57122.65625,layer_27_neuron_1122,5541.441827519195
layer_25_neuron_1395,57104.07421875,layer_25_neuron_1860,5540.187556568996
layer_27_neuron_2655,57103.5625,layer_23_neuron_2557,5538.883563122801
layer_24_neuron_1628,57060.16015625,layer_25_neuron_707,5536.489326682798
layer_16_neuron_2604,57052.32421875,layer_24_neuron_1823,5532.848992689004
layer_25_neuron_3311,57047.16796875,layer_25_neuron_2303,5530.776782872497
layer_24_neuron_39,57042.0703125,layer_24_neuron_2288,5530.084945963503
layer_27_neuron_2568,57033.77734375,layer_27_neuron_2096,5523.621642003
layer_27_neuron_1925,57007.30078125,layer_27_neuron_66,5522.798442187706
layer_19_neuron_698,57000.14453125,layer_23_neuron_1865,5521.341096742999
layer_27_neuron_8,56990.5390625,layer_27_neuron_198,5516.875984626012
layer_16_neuron_37,56988.4765625,layer_27_neuron_3123,5516.661770115713
layer_27_neuron_2557,56976.765625,layer_26_neuron_2255,5516.356934187003
layer_27_neuron_2840,56959.6953125,layer_6_neuron_458,5515.4100178356975
layer_26_neuron_2096,56950.12890625,layer_27_neuron_1616,5513.861813051009
layer_3_neuron_1692,56942.03125,layer_27_neuron_1710,5511.3947163150015
layer_26_neuron_2033,56940.56640625,layer_27_neuron_760,5511.215951700408
layer_25_neuron_3090,56936.38671875,layer_27_neuron_1035,5507.58801595771
layer_25_neuron_1940,56916.20703125,layer_27_neuron_3330,5506.308011313001
layer_27_neuron_49,56874.36328125,layer_27_neuron_2503,5505.919149323012
layer_27_neuron_742,56873.3203125,layer_22_neuron_39,5505.903110631205
layer_28_neuron_99,56872.05859375,layer_23_neuron_2053,5499.594050104997
layer_24_neuron_998,56868.0859375,layer_26_neuron_2303,5499.401439215106
layer_26_neuron_314,56867.671875,layer_27_neuron_3216,5498.462091661198
layer_25_neuron_1627,56846.97265625,layer_27_neuron_1028,5498.037482343
layer_27_neuron_1805,56838.0859375,layer_27_neuron_2567,5497.904286483494
layer_24_neuron_882,56823.5546875,layer_27_neuron_1628,5496.690753010002
layer_27_neuron_2132,56800.58203125,layer_25_neuron_899,5496.254160233995
layer_27_neuron_772,56773.4765625,layer_25_neuron_3092,5495.009508456395
layer_19_neuron_2953,56771.546875,layer_23_neuron_2510,5494.120102460007
layer_24_neuron_2010,56764.96875,layer_26_neuron_637,5494.065489432006
layer_26_neuron_1940,56745.453125,layer_26_neuron_662,5491.508982225004
layer_27_neuron_641,56737.1640625,layer_21_neuron_2988,5488.583742794002
layer_26_neuron_641,56718.52734375,layer_27_neuron_2263,5486.716516522998
layer_6_neuron_1692,56717.03125,layer_21_neuron_1116,5480.304122775986
layer_24_neuron_1993,56714.9453125,layer_28_neuron_209,5479.642844547497
layer_26_neuron_541,56694.6484375,layer_26_neuron_3192,5479.196717777594
