metric,ablation_num,comparison,n_a,n_b,mean_a,mean_b,diff_mean,cohens_d,t_stat,p_value
wy_precision,250,wanyue vs haofang,15,15,0.8540236100835799,0.8561480513693602,-0.0021244412857803763,-0.27981659047369534,t(24)=-0.77,0.45
wy_precision,250,wanyue vs none(no_ablation),15,15,0.8540236100835799,0.865572103444278,-0.011548493360698187,-1.6030185169037314,t(22)=-4.39,0.0
wy_precision,250,wanyue vs random,15,15,0.8540236100835799,0.8465546841204425,0.007468925963137307,0.8177226011804116,t(28)=2.24,0.03
wy_precision,300,haofang vs none(no_ablation),15,15,0.8613744508807779,0.865572103444278,-0.004197652563500132,-0.410095080142162,t(18)=-1.12,0.28
wy_precision,300,haofang vs random,15,15,0.8613744508807779,0.8592021940430965,0.0021722568376814078,0.20239006600838955,t(20)=0.55,0.59
wy_precision,300,random vs none(no_ablation),15,15,0.8592021940430965,0.865572103444278,-0.006369909401181539,-1.0893840256624203,t(26)=-2.98,0.01
wy_precision,300,targeted_combined(haofang+wanyue) vs none(no_ablation),30,15,0.870879823479323,0.865572103444278,0.005307720035044983,0.356217131277849,t(37)=1.52,0.14
wy_precision,300,targeted_combined(haofang+wanyue) vs random,30,15,0.870879823479323,0.8592021940430965,0.011677629436226522,0.7720062761728205,t(41)=3.17,0.0
wy_precision,300,wanyue vs haofang,15,15,0.8803851960778684,0.8613744508807779,0.01901074519709045,1.2473994839778353,t(27)=3.42,0.0
wy_precision,300,wanyue vs none(no_ablation),15,15,0.8803851960778684,0.865572103444278,0.014813092633590319,1.2044378943502545,t(16)=3.30,0.0
wy_precision,300,wanyue vs random,15,15,0.8803851960778684,0.8592021940430965,0.02118300203477186,1.6659113090424853,t(18)=4.56,0.0
wy_precision,350,haofang vs none(no_ablation),15,15,0.8810095410713789,0.865572103444278,0.015437437627100814,1.553859271787712,t(18)=4.26,0.0
wy_precision,350,haofang vs random,15,15,0.8810095410713789,0.8612594262441671,0.019750114827211784,1.9418232110127727,t(19)=5.32,0.0
