row_type,group_name,ablation_mode,ablation_n,seed,haofang_precision,haofang_recall,haofang_f1,wanyue_precision,wanyue_recall,wanyue_f1,macro_f1,accuracy,TP,TN,FP,FN,unknown_cnt,n,seconds,haofang_precision_mean,haofang_precision_sd,haofang_precision_ci95_low,haofang_precision_ci95_high,haofang_precision_groups_n,haofang_recall_mean,haofang_recall_sd,haofang_recall_ci95_low,haofang_recall_ci95_high,haofang_recall_groups_n,haofang_f1_mean,haofang_f1_sd,haofang_f1_ci95_low,haofang_f1_ci95_high,haofang_f1_groups_n,wanyue_precision_mean,wanyue_precision_sd,wanyue_precision_ci95_low,wanyue_precision_ci95_high,wanyue_precision_groups_n,wanyue_recall_mean,wanyue_recall_sd,wanyue_recall_ci95_low,wanyue_recall_ci95_high,wanyue_recall_groups_n,wanyue_f1_mean,wanyue_f1_sd,wanyue_f1_ci95_low,wanyue_f1_ci95_high,wanyue_f1_groups_n,macro_f1_mean,macro_f1_sd,macro_f1_ci95_low,macro_f1_ci95_high,macro_f1_groups_n,accuracy_mean,accuracy_sd,accuracy_ci95_low,accuracy_ci95_high,accuracy_groups_n,comparison,metric,t_stat,p_value,pairs_n
detail,group3,random,250,20260473.0,0.848,0.848,0.848,0.8926553672316384,0.8926553672316384,0.8926553672316384,0.8703276836158191,0.8741721854304636,106.0,158.0,19.0,19.0,0.0,302.0,34.19445514678955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group3,sequential_wanyue_csv,300,,0.8064516129032258,0.6,0.6880733944954128,0.8058252427184466,0.4689265536723164,0.592857142857143,0.640465268676278,0.7748344370860927,75.0,159.0,18.0,50.0,106.0,302.0,76.66843295097351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group3,random,300,20260523.0,0.8859649122807017,0.808,0.8451882845188284,0.8723404255319149,0.9265536723163842,0.8986301369863015,0.871909210752565,0.8774834437086093,101.0,164.0,13.0,24.0,0.0,302.0,34.44741487503052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group3,sequential_wanyue_csv,350,,0.8795180722891566,0.584,0.7019230769230769,0.7402597402597403,0.3220338983050847,0.4488188976377953,0.5753709872804361,0.7947019867549668,73.0,167.0,10.0,52.0,142.0,302.0,76.24024701118469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group3,random,350,20260573.0,0.8455284552845529,0.832,0.8387096774193549,0.88268156424581,0.8926553672316384,0.8876404494382022,0.8631750634287785,0.8675496688741722,104.0,158.0,19.0,21.0,0.0,302.0,34.58860182762146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group4,sequential_wanyue_csv,0,,0.8861788617886179,0.8134328358208955,0.8482490272373541,0.8603351955307262,0.9166666666666666,0.8876080691642652,0.8679285482008097,0.8708609271523179,109.0,154.0,14.0,25.0,0.0,302.0,20.910826921463013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group4,random,0,20260224.0,0.8861788617886179,0.8134328358208955,0.8482490272373541,0.8603351955307262,0.9166666666666666,0.8876080691642652,0.8679285482008097,0.8708609271523179,109.0,154.0,14.0,25.0,0.0,302.0,20.848931550979614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group4,sequential_wanyue_csv,200,,0.7432432432432432,0.8208955223880597,0.7801418439716312,0.8983050847457628,0.6309523809523809,0.7412587412587412,0.7607002926151862,0.7947019867549668,110.0,130.0,38.0,24.0,36.0,302.0,79.21282434463501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group4,random,200,20260424.0,0.8790322580645161,0.8134328358208955,0.8449612403100775,0.8595505617977528,0.9107142857142857,0.8843930635838151,0.8646771519469463,0.8675496688741722,109.0,153.0,15.0,25.0,0.0,302.0,34.51901054382324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group4,sequential_wanyue_csv,250,,0.75,0.7835820895522388,0.7664233576642335,0.8888888888888888,0.5714285714285714,0.6956521739130435,0.7310377657886384,0.7880794701986755,105.0,133.0,35.0,29.0,54.0,302.0,77.83666133880615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group4,random,250,20260474.0,0.8740157480314961,0.8283582089552238,0.8505747126436782,0.8685714285714285,0.9047619047619048,0.8862973760932944,0.8684360443684863,0.8708609271523179,111.0,152.0,16.0,23.0,0.0,302.0,34.08632946014404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group4,sequential_wanyue_csv,300,,0.7676056338028169,0.8134328358208955,0.7898550724637681,0.8586956521739131,0.47023809523809523,0.6076923076923076,0.6987736900780379,0.8079470198675497,109.0,135.0,33.0,25.0,68.0,302.0,78.3510594367981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group4,random,300,20260524.0,0.9067796610169492,0.7985074626865671,0.8492063492063493,0.8532608695652174,0.9345238095238095,0.8920454545454546,0.8706259018759019,0.8741721854304636,107.0,157.0,11.0,27.0,0.0,302.0,34.4915988445282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group4,sequential_wanyue_csv,350,,0.753968253968254,0.7089552238805971,0.7307692307692307,0.8395061728395061,0.40476190476190477,0.5461847389558233,0.638476984862527,0.7682119205298014,95.0,137.0,31.0,39.0,95.0,302.0,78.67998337745667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group4,random,350,20260574.0,0.8925619834710744,0.8059701492537313,0.8470588235294118,0.856353591160221,0.9226190476190477,0.8882521489971348,0.8676554862632733,0.8708609271523179,108.0,155.0,13.0,26.0,0.0,302.0,34.081570625305176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group5,sequential_wanyue_csv,0,,0.9020979020979021,0.8716216216216216,0.8865979381443299,0.8805031446540881,0.9090909090909091,0.8945686900958466,0.8905833141200883,0.890728476821192,129.0,140.0,14.0,19.0,0.0,302.0,20.709957599639893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group5,random,0,20260225.0,0.9020979020979021,0.8716216216216216,0.8865979381443299,0.8805031446540881,0.9090909090909091,0.8945686900958466,0.8905833141200883,0.890728476821192,129.0,140.0,14.0,19.0,0.0,302.0,20.70513939857483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group5,sequential_wanyue_csv,200,,0.8805970149253731,0.7972972972972973,0.8368794326241135,0.8544303797468354,0.8766233766233766,0.8653846153846154,0.8511320240043645,0.847682119205298,118.0,138.0,16.0,30.0,10.0,302.0,79.29525661468506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group5,random,200,20260425.0,0.9014084507042254,0.8648648648648649,0.8827586206896552,0.875,0.9090909090909091,0.8917197452229298,0.8872391829562924,0.8874172185430463,128.0,140.0,14.0,20.0,0.0,302.0,34.047794580459595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group5,sequential_wanyue_csv,250,,0.8962962962962963,0.8175675675675675,0.8551236749116607,0.8733333333333333,0.8506493506493507,0.8618421052631579,0.8584828900874093,0.8642384105960265,121.0,140.0,14.0,27.0,17.0,302.0,78.34167623519897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group5,random,250,20260475.0,0.8896551724137931,0.8716216216216216,0.8805460750853241,0.8789808917197452,0.8961038961038961,0.8874598070739549,0.8840029410796395,0.8841059602649006,129.0,138.0,16.0,19.0,0.0,302.0,34.24028730392456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group5,sequential_wanyue_csv,300,,0.8814814814814815,0.8040540540540541,0.8409893992932862,0.8880597014925373,0.7727272727272727,0.8263888888888888,0.8336891440910875,0.8509933774834437,119.0,138.0,16.0,29.0,33.0,302.0,77.87960290908813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group5,random,300,20260525.0,0.8943661971830986,0.8581081081081081,0.8758620689655172,0.86875,0.9025974025974026,0.8853503184713377,0.8806061937184275,0.8807947019867549,127.0,139.0,15.0,21.0,0.0,302.0,34.43162822723389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group5,sequential_wanyue_csv,350,,0.8712121212121212,0.777027027027027,0.8214285714285714,0.9016393442622951,0.7142857142857143,0.7971014492753624,0.809265010351967,0.8344370860927153,115.0,137.0,17.0,33.0,48.0,302.0,79.46993255615234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detail,group5,random,350,20260575.0,0.8951048951048951,0.8648648648648649,0.879725085910653,0.8742138364779874,0.9025974025974026,0.8881789137380192,0.8839519998243361,0.8841059602649006,128.0,139.0,15.0,20.0,0.0,302.0,34.7200927734375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
